particle_id,impact_parameter,scattering_angle_sim,scattering_angle_theory,initial_energy,final_energy,relative_energy_error,final_x,final_y,final_vx,final_vy
75,1.9916826510962933,0.9265999817666511,0.9306332599376606,0.504999752093452,0.5049997520934593,1.4290006341880515e-14,118.5197708173787,161.11408375323296,0.6005560708548986,0.799582700789673
76,4.264765306133771,0.45832511040622054,0.4606372707867978,0.504998863623578,0.5049988636235798,3.5175462112016395e-15,177.47548618772234,92.31566347992678,0.8967948907650447,0.44244673857206623
77,4.355066251806749,0.4491371506525585,0.4514104013833973,0.5049988150087659,0.5049988150087641,3.5175465498258964e-15,178.276198953286,90.76212667102243,0.9008221443584032,0.4341884546393921
78,-6.515149868870213,-0.30294995903550487,-0.30459967632806745,0.5049973491609621,0.5049973491609774,3.0338927056315585e-14,188.95580823409986,-65.88819156152427,0.9544607459614569,-0.29833717801970294
79,5.9800334206220365,0.3296173440702818,0.3313801351365006,0.5049977664475369,0.504997766447538,2.198471158466985e-15,187.30094242635505,70.39543736889011,0.9461663539160908,0.3236810242471986
80,7.086854791127998,0.27881304280313246,0.2803616584453745,0.5049968639834224,0.5049968639834231,1.5389325611002634e-15,190.33530401782957,61.85874346775648,0.9613830119577529,0.27521478787203174
81,6.52686664456008,0.30241380323068334,0.3040612650541532,0.5049973396255228,0.5049973396255154,1.4729769211268542e-14,188.98136492907142,65.79610772359123,0.9546204079183467,0.2978253468065423
82,-5.11440733778651,-0.3841839309972732,-0.38618006498984764,0.5049983659787058,0.504998365978709,6.1557119356729146e-15,183.50931417888552,-79.70426306827811,0.9271047382224228,-0.37480273367646544
83,7.221066370174125,0.2736895940106922,0.27521696514693234,0.5049967441953722,0.5049967441953657,1.2971006091782345e-14,190.60974690516917,61.01093744538284,0.9627803440382039,0.2702855746365136
84,3.3006853294605536,0.5855167443131029,0.5883538738508657,0.5049993192313312,0.5049993192313387,1.4729711470325977e-14,164.863656833946,113.27848793697628,0.8334266884007511,0.5526301641523411
85,-1.3030328707609817,-1.3043050461309884,-1.3091396311374286,0.5049998938849618,0.504999893884946,3.121815893543238e-14,51.41497838025005,-193.2920208679373,0.2633482595371715,-0.9647010651332903
86,2.447560239186599,0.772206879860894,0.7757450325106136,0.5049996256326043,0.504999625632611,1.3410624694483361e-14,141.57323617565598,141.30318986798795,0.7163727961295738,0.6977180409015549
87,-6.8044403590981455,-0.290240342909008,-0.2918366440106595,0.5049971087342228,0.5049971087342228,0.0,189.6889115482584,-63.75670821211968,0.9581751511739142,-0.2861825329025126
88,5.449281918613309,0.3610849766098874,0.36298218948939537,0.5049981451156004,0.5049981451156046,8.354184137864206e-15,185.18339809985216,75.75794427234322,0.9355142074003455,0.3532895062025503
89,-3.245161924063592,-0.5949610317577336,-0.5978358590851903,0.504999341937692,0.5049993419376874,9.233550058766178e-15,163.81712845737204,-114.78412720483392,0.8281703876634926,-0.5604765146684461
90,5.673764571502718,0.34707888496043593,0.3489161856837046,0.5049979892383236,0.5049979892383207,5.7160224902660825e-15,186.14701475116414,73.36695121861669,0.9403704197203125,0.34015235873747307
91,3.1559303775534224,0.6107734262575619,0.6137108992600256,0.5049993776226911,0.5049993776226913,4.3969282887103146e-16,162.0328394550565,117.28687841462396,0.8192047477067631,0.5735012579915129
92,6.681348958945766,0.29551669016299287,0.2971351195593697,0.5049972123066102,0.504997212306616,1.1432062568586274e-14,189.3904068459601,64.64035145149847,0.9566519390703617,0.29123422626247925
93,5.356534567035339,0.36720315280324883,0.3691265625806264,0.5049982076852679,0.5049982076852674,1.0992346187860981e-15,184.74725615427442,76.8019878579459,0.9333351625658575,0.3590064753132574
94,4.953796843195203,0.3963289377039926,0.398377066814087,0.5049984669489144,0.5049984669489183,7.69463838111242e-15,182.58942498050737,81.77873586370237,0.9224844854539024,0.3860345046742317
95,-4.412640443450738,-0.44346570768841115,-0.44571489131113423,0.5049987834818888,0.504998783481888,1.5389267116234181e-15,178.76751324593187,-89.80355802435999,0.9032702219596966,-0.429072586809781
96,-6.3584994543782996,-0.31030339797674156,-0.3119841845363327,0.504997475006759,0.50499747500676,1.9786251845106105e-15,188.5076431453796,-67.12465621998304,0.9522409968696345,-0.3053475664892725
97,4.828618220855594,0.4063325061529812,0.40842342324567077,0.5049985434146195,0.5049985434146322,2.528237942402684e-14,181.8132168875624,83.4868259328252,0.918576708409173,0.39524318842281053
98,2.416129623261434,0.7812678224607676,0.7848373420882098,0.5049996351847836,0.5049996351847856,3.957233441552982e-15,140.30795344434168,142.55657168990317,0.71002146034825,0.7041802917425996
99,-2.787987851512781,-0.6855508846105212,-0.6887759393978835,0.5049995142660242,0.5049995142660252,1.9786171945430443e-15,153.05122586405864,-128.77982028336137,0.7740704552486382,-0.6330995764001992
100,-7.8467175376096945,-0.25207821995676194,-0.25351705126356505,0.5049961562508626,0.504996156250861,3.077869435709322e-15,191.72792529918723,-57.48363022571442,0.9683963144328622,-0.24941707390079873
101,7.627058347266654,0.2592689465993323,0.26073702567295337,0.5049963682096166,0.5049963682096109,1.1212233952617315e-14,191.36127684889124,58.64724233053702,0.9665776875385048,0.2563740080174886
102,6.6974868257007625,0.2948141290439485,0.2964296120361642,0.5049971988351057,0.5049971988351258,3.979237269448076e-14,189.425952954155,64.52116135751136,0.9568561847281414,0.29056200909490104
103,-4.147193031804087,-0.4708554967142958,-0.4732205586436954,0.5049989253959039,0.5049989253958945,1.8467115349879433e-14,176.35629780192397,-94.42646388892791,0.8911805583105769,-0.4536488731799139
104,-7.876229685320089,-0.2511421670082605,-0.2525772121734304,0.504996127316825,0.5049961273168208,8.354217518442019e-15,191.77165223060214,-57.33204131820997,0.9686292913253618,-0.24851047750095534
105,-7.063665488103142,-0.27971760752843905,-0.28126998894508654,0.5049968844537767,0.5049968844537658,2.1545054982061812e-14,190.27960593636158,-62.006859097380996,0.961133517707869,-0.27608426483576776
106,6.778771980151418,0.29132515719406177,0.29292600074665576,0.5049971304877743,0.5049971304877793,9.89313267183833e-15,189.62962474887402,63.93864516342423,0.9578641978284708,0.28722182597618456
107,-5.375573993692815,-0.3659305482101106,-0.3678485107690764,0.5049981949282208,0.5049981949282093,2.286408064833339e-14,184.83499363677768,-76.58343040583938,0.9337912040707761,-0.3578183892321557
108,4.195878879046544,0.46558611389701343,0.4679289530713073,0.5049989000256166,0.5049989000256202,7.035091915289886e-15,176.8311074354754,93.5401498524611,0.8935586631011433,0.44894664474330515
109,-2.5288186643738575,-0.7496820249383822,-0.7531410437867445,0.5049996003651777,0.5049996003651706,1.4070164317878454e-14,144.66118874068516,-138.1350727906731,0.7319056566290799,-0.6814061418138149
